timestamp_us,px,py,pz,qw,qx,qy,qz,yaw_imu,yaw_slam
1107606299,0,0,0,1,0,0,0,0,0
1107607341,0.0547341,0.0027222,-0.0186603,1,-0.000367263,-4.09631e-05,-1.10538e-06,0,0
1107607848,0.0547436,0.00272268,-0.0186635,1,0.000365165,-0.000504052,1.87406e-05,0,0
1107608838,0.0547622,0.0027236,-0.0186698,1,0.000489263,-0.000209886,1.21447e-05,0,0
1107609708,0.0547785,0.00272441,-0.0186754,0.999995,0.00247186,-0.0021926,3.02797e-05,0,0
1107615538,0.054888,0.00272986,-0.0187127,0.999996,0.00243263,-0.00150554,1.01046e-05,0,0
1107625976,0.0550839,0.00273961,-0.0187795,0.999997,0.00225083,-0.00113882,-6.22721e-07,0,0
1107640341,0.0553536,0.00275302,-0.0188715,0.999998,-0.000295194,-0.00182505,5.39014e-06,0,0
1107648842,0.0555132,0.00276096,-0.0189259,0.999999,-3.79993e-06,-0.00137102,-1.02541e-05,0,0
1107658558,0.0556957,0.00277003,-0.0189881,0.999999,-0.00098699,-0.000960556,-4.1567e-05,0,0
1107667074,0.0558555,0.00277798,-0.0190426,0.999998,-0.00162285,-0.000935935,-5.20552e-05,0,0
1107675611,0.0560158,0.00278595,-0.0190973,0.999999,-0.000874378,-0.00138026,-4.26578e-05,0,0
1107679576,0.0560903,0.00278966,-0.0191226,0.999999,-0.000978772,-0.000308472,-8.19202e-05,0,0
1107683706,0.0561678,0.00279351,-0.0191491,0.999999,-0.00121427,-4.41378e-05,-9.1239e-05,0,0
1107689416,0.056275,0.00279884,-0.0191856,0.999999,-0.00169814,0.000183217,-0.000101835,0,0
1107695060,0.056381,0.00280411,-0.0192217,0.999997,-0.00260717,0.0001084,-0.00010035,0,0
1107699613,0.0564665,0.00280837,-0.0192509,0.999997,-0.00262563,5.58387e-05,-0.000100514,0,0
1107705524,0.0565774,0.00281389,-0.0192887,0.999997,-0.00230177,-0.000205967,-9.93369e-05,0,0
1107710907,0.0566785,0.00281891,-0.0193232,0.999998,-0.00172587,0.000227785,-0.000114995,0,0
1107716569,0.0567848,0.0028242,-0.0193594,0.999998,-0.00169546,0.000735288,-0.00013054,0,0
1107721820,0.0568834,0.0028291,-0.019393,0.999997,-0.00201959,0.00115434,-0.000145008,0,0
1107727918,0.0569979,0.0028348,-0.0194321,0.999996,-0.0023381,0.00129879,-0.000152218,0,0
1107732460,0.0570832,0.00283904,-0.0194611,0.999995,-0.00279929,0.00124027,-0.000154311,0,0
1107737258,0.0571732,0.00284352,-0.0194918,0.999995,-0.00317121,0.000794618,-0.000146055,0,0
1107743238,0.0572855,0.0028491,-0.0195301,0.999997,-0.00257788,0.000329444,-0.000144028,0,0
1107750546,0.0574227,0.00285593,-0.0195769,0.999997,-0.0024218,0.000390896,-0.000146782,0,0
1107756535,0.0575352,0.00286152,-0.0196152,0.999997,-0.00236975,0.000968477,-0.000164165,0,0
1107759570,0.0575922,0.00286435,-0.0196347,0.999995,-0.00280209,0.00152132,-0.000175565,0,0
1107764505,0.0576848,0.00286896,-0.0196663,0.999994,-0.00307028,0.00161323,-0.000177844,0,0
1107773672,0.0528905,0.00447038,-0.0242172,0.999993,-0.00340828,0.00155514,-0.000181211,0,0
