control_time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,angular_vel_x,angular_vel_y,angular_vel_z,local_sp_x,local_sp_y,local_sp_z,local_sp_yaw,local_sp_vx,local_sp_vy,local_sp_vz,local_sp_ax,local_sp_ay,local_sp_az,local_sp_yawspeed,att_sp_qw,att_sp_qx,att_sp_qy,att_sp_qz,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,target_x,target_y,target_z,target_yaw,phase,event,hover_thrust,hover_thrust_valid,takeoff_state,takeoff_tilt_limit,landed,ground_contact,maybe_landed,thrust_sp_x,thrust_sp_y,thrust_sp_z,torque_sp_x,torque_sp_y,torque_sp_z,actuator_motor_0,actuator_motor_1,actuator_motor_2,actuator_motor_3,actuator_motor_4,actuator_motor_5,actuator_motor_6,actuator_motor_7,actuator_motor_8,actuator_motor_9,actuator_motor_10,actuator_motor_11
0.168011,-0.00202072,-0.0270991,0.0366077,0.00274612,-0.00896555,-0.00879812,-0.0346751,-0.00513325,-0.00935732,-0.00168159,0.00181327,0.00177618,nan,nan,nan,-0.00937283,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.0046864,0.138767,0.0204942,0.000235143,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.021412,0.00294643,-8.58931e-06,0.00199899,0,0.00200051,5.05553e-07,nan,nan,nan,nan,nan,nan,nan,nan
0.178941,-0.00198414,-0.02711,0.0367623,0.00235236,-0.00835804,-0.00880181,-0.0346851,-0.00514169,-0.0093416,-0.00138896,-0.000967362,0.00176586,nan,nan,nan,-0.0093416,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.00467078,0.138622,0.0205506,0.00027931,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.021412,0.00294643,-8.58931e-06,0.00199899,0,0.00200051,5.05553e-07,nan,nan,nan,nan,nan,nan,nan,nan
0.18781,-0.00195047,-0.0271114,0.0369133,0.00267597,-0.008865,-0.00879293,-0.0346469,-0.005149,-0.00937412,0.00394046,-0.000655863,-0.00358073,nan,nan,nan,-0.0093416,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.00467078,0.138559,0.0206261,0.000249983,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0196741,0.00339358,8.21635e-06,0.00199935,6.52762e-07,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.201067,-0.00185649,-0.027136,0.0373398,0.00249766,-0.00858158,-0.00852459,-0.0346138,-0.0051695,-0.00940225,-0.00360718,0.00209206,-0.00107955,nan,nan,nan,-0.00939266,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.00469631,0.138447,0.0206783,0.000280659,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.02007,0.00322256,6.83025e-05,0.0019994,5.96061e-07,0.002,2.30541e-12,nan,nan,nan,nan,nan,nan,nan,nan
0.21515,-0.00182558,-0.027141,0.0374679,0.00236433,-0.00809688,-0.00882144,-0.0345682,-0.00513429,-0.00941109,0.00478364,0.00395823,-0.000799466,nan,nan,nan,-0.00941109,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.00470553,0.138265,0.0205375,0.000273218,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0218159,0.00236445,8.76973e-05,0.00199969,3.13359e-07,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.227234,-0.00178767,-0.0271622,0.0375761,0.00290146,-0.00892124,-0.00858126,-0.0345265,-0.00521468,-0.00934735,0.00437459,-0.00914062,0.0067992,nan,nan,nan,-0.00941109,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.00470553,0.138098,0.0208611,7.35966e-05,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0195521,0.00544523,2.01378e-05,0.00199867,1.32988e-06,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.246793,-0.00172995,-0.0271679,0.0379022,0.00243486,-0.00949242,-0.00812661,-0.0345989,-0.00515074,-0.00934538,-0.00991488,-0.000699615,-0.00449866,nan,nan,nan,-0.00930437,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.00465217,0.138388,0.0206024,0.000364266,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0234075,0.00350309,-7.27965e-05,0.00199862,0,0.00200069,6.89456e-07,nan,nan,nan,nan,nan,nan,nan,nan
0.256464,-0.00167433,-0.0271799,0.0381999,0.00391484,-0.00856741,-0.00919521,-0.0346302,-0.00519797,-0.00934882,-0.00639722,-0.0119441,0.0115077,nan,nan,nan,-0.00930437,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.00465217,0.138529,0.0206315,0.000290175,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0234075,0.00350309,-7.27965e-05,0.00199862,0,0.00200069,6.89456e-07,nan,nan,nan,nan,nan,nan,nan,nan
0.273559,-0.00164228,-0.0271734,0.0383435,0.00283659,-0.00701656,-0.00813496,-0.0345839,-0.00507552,-0.00928749,0.00489472,0.0133094,0.00735465,nan,nan,nan,-0.00928749,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.00464373,0.138205,0.0207157,5.31674e-05,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0182995,0.00493914,-0.000173676,0.00199767,0,0.00200116,1.16352e-06,nan,nan,nan,nan,nan,nan,nan,nan
0.281392,-0.00160012,-0.0271776,0.0384747,0.00469899,-0.00863601,-0.00835223,-0.034598,-0.00525075,-0.00918126,-0.00178026,-0.0200316,0.0113027,nan,nan,nan,-0.00928749,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.00464373,0.138412,0.0207357,0.00012375,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0221879,0.000669087,-0.000416501,0.000528708,0.000638484,0.00241629,0.000416519,nan,nan,nan,nan,nan,nan,nan,nan
