control_time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,angular_vel_x,angular_vel_y,angular_vel_z,local_sp_x,local_sp_y,local_sp_z,local_sp_yaw,local_sp_vx,local_sp_vy,local_sp_vz,local_sp_ax,local_sp_ay,local_sp_az,local_sp_yawspeed,att_sp_qw,att_sp_qx,att_sp_qy,att_sp_qz,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,target_x,target_y,target_z,target_yaw,phase,event,hover_thrust,hover_thrust_valid,takeoff_state,takeoff_tilt_limit,landed,ground_contact,maybe_landed,thrust_sp_x,thrust_sp_y,thrust_sp_z,torque_sp_x,torque_sp_y,torque_sp_z,actuator_motor_0,actuator_motor_1,actuator_motor_2,actuator_motor_3,actuator_motor_4,actuator_motor_5,actuator_motor_6,actuator_motor_7,actuator_motor_8,actuator_motor_9,actuator_motor_10,actuator_motor_11,rate_ctrl_status_timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
0.147107,-0.0353656,-0.016219,0.0361419,-0.000310679,-0.0184102,-0.00611441,-0.0305716,0.00342778,0.00723279,-0.000167389,-0.00181667,-0.000688922,nan,nan,nan,0.00724072,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00362035,0.122284,-0.0137157,-0.000165224,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0184554,-0.00218644,-5.77725e-05,0,0.00199949,2.55606e-07,0.00200026,nan,nan,nan,nan,nan,nan,nan,nan,1782374399667688,0,0,0
0.164076,-0.0353636,-0.0162548,0.0360522,-0.000627589,-0.0180444,-0.00620447,-0.0305455,0.00342237,0.0072347,0.00241667,-0.000570138,0.000374389,nan,nan,nan,0.0072347,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00361734,0.122306,-0.0137171,-0.000179935,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0186445,-0.00227644,-6.12101e-05,5.07706e-13,0.00199943,2.84936e-07,0.00200029,nan,nan,nan,nan,nan,nan,nan,nan,1782374399687094,0,0,0
0.174652,-0.0353742,-0.0162237,0.0359122,-0.0008579,-0.0170993,-0.00633039,-0.0305771,0.00341104,0.00727328,0.00017697,-0.000665239,0.00197494,nan,nan,nan,0.00727328,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00363663,0.122277,-0.0136438,-4.34925e-05,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0178825,-0.00286092,-8.66656e-05,0,0.00199904,4.77964e-07,0.00200048,nan,nan,nan,nan,nan,nan,nan,nan,1782374399708049,0,0,0
0.185249,-0.0353873,-0.0161774,0.0358529,-0.000670038,-0.0171714,-0.00633144,-0.0305659,0.00343991,0.00722621,0.00056069,0.00341213,-0.00496754,nan,nan,nan,0.00727328,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00363663,0.122156,-0.0138047,-0.000158147,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.017389,-0.00248864,-5.00893e-05,1.19078e-12,0.00199929,3.54967e-07,0.00200036,nan,nan,nan,nan,nan,nan,nan,nan,1782374399717030,0,0,0
0.194989,-0.0354241,-0.0161077,0.0357328,-0.000941175,-0.0179548,-0.0064463,-0.0305504,0.00342195,0.00724956,-0.00193464,-0.00207961,0.00188696,nan,nan,nan,0.00724956,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00362477,0.122196,-0.0136877,-0.000191134,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.017389,-0.00248864,-5.00893e-05,1.19078e-12,0.00199929,3.54967e-07,0.00200036,nan,nan,nan,nan,nan,nan,nan,nan,1782374399717030,0,0,0
0.201853,-0.0354413,-0.0160857,0.0356728,-0.00110399,-0.0180355,-0.00633145,-0.0305224,0.00344227,0.00725651,0.00244492,0.00226884,0.000994739,nan,nan,nan,0.00724956,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00362477,0.122196,-0.0136877,-0.000191134,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0187685,-0.00157504,-6.0829e-05,1.06753e-12,0.00199989,5.32373e-08,0.00200005,nan,nan,nan,nan,nan,nan,nan,nan,1782374399727510,0,0,0
0.22573,-0.0354639,-0.0160488,0.0355519,-0.000696019,-0.0179021,-0.00642521,-0.0304993,0.00341393,0.00731888,0.00336954,0.000777252,0.00409455,nan,nan,nan,0.00728357,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00364178,0.121992,-0.0136552,-0.000244624,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0173989,-0.000874166,-0.000215269,4.75239e-12,0.002,0.000763041,0.00123696,nan,nan,nan,nan,nan,nan,nan,nan,1782374399757440,0,0,0
0.240504,-0.0354773,-0.0160397,0.035492,-0.00114225,-0.0182179,-0.00632554,-0.0304858,0.00340248,0.00733599,0.000856019,-0.00130208,0.00198576,nan,nan,nan,0.00733599,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00366799,0.121888,-0.0138134,-9.18858e-05,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0183046,-0.00420569,-0.000254628,1.68535e-12,0.00199815,9.21995e-07,0.00200092,nan,nan,nan,nan,nan,nan,nan,nan,1782374399767916,0,0,0
0.252985,-0.0354864,-0.0160638,0.0354208,0.00047737,-0.0185567,-0.00691704,-0.0304545,0.00339469,0.00739807,0.00286407,-0.0010609,0.00704395,nan,nan,nan,0.00733599,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00366799,0.121638,-0.0134995,-0.000249423,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0163658,-0.000324166,-0.000310818,0,0.002,0.00154066,0.00045934,nan,nan,nan,nan,nan,nan,nan,nan,1782374399776956,0,0,0
0.261797,-0.0354942,-0.0160606,0.0353585,-0.000187428,-0.0168418,-0.00585224,-0.0303823,0.00344165,0.00745447,0.0074006,0.00505353,0.00655223,nan,nan,nan,0.00745447,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00372723,0.121752,-0.0138394,-0.000268831,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0197578,-0.00382643,-0.000501232,1.02404e-12,0.0019984,7.96897e-07,0.0020008,nan,nan,nan,nan,nan,nan,nan,nan,1782374399787373,0,0,0
0.274186,-0.0354784,-0.0160194,0.0352695,0.000419984,-0.0173598,-0.00705178,-0.0304176,0.00340074,0.00744422,0.00230961,0.0092077,-0.00662434,nan,nan,nan,0.00744422,nan,nan,nan,0,0,100,0,0.999993,0,0,0.0037221,0.121558,-0.0135549,-4.29438e-05,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0159501,-0.0019478,-0.000357937,1.02404e-12,0.0019984,7.96897e-07,0.0020008,nan,nan,nan,nan,nan,nan,nan,nan,1782374399787373,0,0,0
0.283065,-0.0354279,-0.0159455,0.0352114,0.00115578,-0.0160392,-0.00657275,-0.0304667,0.00334018,0.00716555,-0.00687545,-0.00780249,-0.019245,nan,nan,nan,0.00744422,nan,nan,nan,0,0,100,0,0.999993,0,0,0.0037221,0.121861,-0.0133652,0.000336458,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0159501,-0.0019478,-0.000357937,0,0.00199965,1.76344e-07,0.00200018,nan,nan,nan,nan,nan,nan,nan,nan,1782374399806828,0,0,0
0.297322,-0.0353486,-0.0158672,0.0351499,0.00376497,-0.0145431,-0.00677492,-0.030482,0.00335961,0.00696495,0.00238374,0.00453601,-0.0104803,nan,nan,nan,0.00706145,nan,nan,nan,0,0,100,0,0.999994,0,0,0.00353072,0.121923,-0.0134411,0.000126812,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0204432,6.40976e-05,6.30808e-05,8.96113e-05,0.00191039,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan,1782374399817306,0,0,0
0.315444,-0.0352955,-0.01582,0.0351195,0.00598311,-0.0130169,-0.00667905,-0.030462,0.00332182,0.00699529,0.00162687,-0.00425088,0.00337673,nan,nan,nan,0.00696495,nan,nan,nan,0,0,100,0,0.999994,0,0,0.00348247,0.121832,-0.0131755,-0.000180696,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0159081,-0.00110871,0.000670906,0.00043145,0.00243165,0,0.0011369,nan,nan,nan,nan,nan,nan,nan,nan,1782374399841253,0,0,0
0.325041,-0.0352325,-0.0157645,0.0350866,0.00574158,-0.0118856,-0.00719576,-0.0305504,0.00324997,0.00705604,-0.0103935,-0.00810397,0.00660593,nan,nan,nan,0.00696495,nan,nan,nan,0,0,100,0,0.999994,0,0,0.00348247,0.12216,-0.013112,-0.000114402,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0206706,-0.000563376,0.000636135,0.000635838,0.00263613,0.000566641,0.000161387,nan,nan,nan,nan,nan,nan,nan,nan,1782374399848738,0,0,0
0.34326,-0.0350207,-0.0155679,0.0349726,0.00732012,-0.00884331,-0.00720912,-0.0304211,0.00311146,0.00737407,-0.00408307,-0.00126008,0.00873636,nan,nan,nan,0.00696495,nan,nan,nan,0,0,100,0,0.999994,0,0,0.00348247,0.121611,-0.0122848,-0.000313171,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0198943,-0.000463812,-0.000300191,1.00841e-11,0.002,0.00134322,0.000656779,nan,nan,nan,nan,nan,nan,nan,nan,1782374399878673,0,0,0
0.357142,-0.0349313,-0.015515,0.0349258,0.00731791,-0.00978126,-0.00655588,-0.0303991,0.00299419,0.00746324,0.00190481,-0.0133039,0.00969735,nan,nan,nan,0.00737407,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00368702,0.121648,-0.0123516,-0.000268876,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0189575,-0.000526968,-0.000474927,6.83797e-12,0.002,0.00125393,0.000746073,nan,nan,nan,nan,nan,nan,nan,nan,1782374399887651,0,0,0
0.360982,-0.0348481,-0.0154097,0.0349716,0.00770698,-0.00788231,-0.00647422,-0.0303286,0.00303062,0.00746338,0.00731139,0.00408532,0.000300553,nan,nan,nan,0.00737407,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00368702,0.121309,-0.0121228,-0.000129068,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0189575,-0.000526968,-0.000474927,6.83797e-12,0.002,0.00125393,0.000746073,nan,nan,nan,nan,nan,nan,nan,nan,1782374399887651,0,0,0
