timestamp_us,yaw_err,pitch_err,roll_err,curr_yaw,curr_pitch,curr_roll,target_yaw,target_pitch,target_roll,att_0,att_1,att_2,U1,U2,U3,U4,n0,n1,n2,n3
27627646485,-2.04592e-05,0.00813197,0.00229257,2.04592e-05,-0.000546402,-0.00157811,0,0.00758557,0.000714454,0.00803543,0.0284659,-2.04695e-05,3.57677,0.000672871,0.00238368,-1.71407e-06,0.895384,0.89453,0.893001,0.893857
27627654307,-9.60011e-06,0.00794779,0.00392195,9.60011e-06,-0.000350449,-0.00319357,0,0.00759735,0.000728375,0.0137385,0.0278159,-9.59468e-06,3.57677,0.00115044,0.00232925,-8.0344e-07,0.895357,0.894768,0.893028,0.893617
27627662454,-1.41901e-05,0.00745673,0.00244083,1.41901e-05,0.000152488,-0.00169842,0,0.00760922,0.000742408,0.00853206,0.0260949,-1.41924e-05,3.57677,0.000714458,0.00218514,-1.18844e-06,0.895284,0.894549,0.893099,0.893835
27627670348,-1.83343e-05,0.00811874,0.00384407,1.83343e-05,-0.000497926,-0.00308794,0,0.00762082,0.000756123,0.0134643,0.0284203,-1.83364e-05,3.57677,0.00112748,0.00237986,-1.53545e-06,0.895381,0.894755,0.893001,0.893628
27627678360,-2.29585e-05,0.00781073,0.00233676,2.29585e-05,-0.000178113,-0.00156669,0,0.00763262,0.000770069,0.00816763,0.0273352,-2.29608e-05,3.57676,0.000683942,0.002289,-1.92269e-06,0.895335,0.894533,0.893046,0.893849
27627686268,-2.65908e-05,0.00814849,0.00379165,2.65908e-05,-0.000555825,-0.00304377,0,0.00759267,0.000747883,0.0132815,0.0285225,-2.65926e-05,3.57677,0.00111217,0.00238842,-2.22681e-06,0.895386,0.894749,0.892998,0.893637
27627694275,-1.5431e-05,0.00785556,0.00540627,1.5431e-05,-0.000252259,-0.00464522,0,0.0076033,0.000761052,0.0189336,0.0274923,-1.54254e-05,3.57677,0.00158546,0.00230215,-1.29169e-06,0.895343,0.894985,0.893041,0.8934
27627702461,-2.02613e-05,0.00740352,0.00390992,2.02613e-05,0.000210277,-0.00313587,0,0.0076138,0.000774049,0.0136738,0.025909,-2.02637e-05,3.57677,0.00114501,0.00216957,-1.69684e-06,0.895276,0.894764,0.893106,0.893619
27627710244,-2.55547e-05,0.00857253,0.00494463,2.55547e-05,-0.000948299,-0.00415766,0,0.00762423,0.000786966,0.0173136,0.0300122,-2.55574e-05,3.57676,0.00144981,0.00251317,-2.14012e-06,0.895447,0.894916,0.892934,0.893467
27627810042,-2.89224e-05,0.00854305,0.00364326,2.89224e-05,-0.000787717,-0.00269392,0,0.00775533,0.000949338,0.0127408,0.0298995,-2.89241e-05,3.57674,0.00106689,0.00250373,-2.42205e-06,0.895436,0.894718,0.892932,0.893651
