control_time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,angular_vel_x,angular_vel_y,angular_vel_z,local_sp_x,local_sp_y,local_sp_z,local_sp_yaw,local_sp_vx,local_sp_vy,local_sp_vz,local_sp_ax,local_sp_ay,local_sp_az,local_sp_yawspeed,att_sp_qw,att_sp_qx,att_sp_qy,att_sp_qz,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,target_x,target_y,target_z,target_yaw,phase,event,hover_thrust,hover_thrust_valid,takeoff_state,takeoff_tilt_limit,landed,ground_contact,maybe_landed,thrust_sp_x,thrust_sp_y,thrust_sp_z,torque_sp_x,torque_sp_y,torque_sp_z,actuator_motor_0,actuator_motor_1,actuator_motor_2,actuator_motor_3,actuator_motor_4,actuator_motor_5,actuator_motor_6,actuator_motor_7,actuator_motor_8,actuator_motor_9,actuator_motor_10,actuator_motor_11,rate_ctrl_status_timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
0.150272,0.0329868,0.00685003,0.0238582,-0.00413014,-0.0033437,0.00225227,-0.0324029,-0.000535753,-0.054737,-0.00301691,-0.00369131,0.000716268,nan,nan,nan,-0.0547427,nan,nan,nan,0,0,100,0,0.999625,-0,0,-0.0273679,0.129683,0.0020661,-7.33836e-06,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0204056,0.000235259,-0.000145028,0.000186659,0.00152335,0.00214495,0.000145034,nan,nan,nan,nan,nan,nan,nan,nan,1782373974720092,0,0,0
0.164024,0.0328505,0.00673995,0.0239854,-0.00383745,-0.00293669,0.00222834,-0.0324184,-0.000519478,-0.0547605,-0.00158062,0.00156684,-0.00233864,nan,nan,nan,-0.0547605,nan,nan,nan,0,0,100,0,0.999625,-0,0,-0.0273768,0.129655,0.00204718,-7.18189e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0187235,0.000596296,-0.000142516,0.000699643,0.00101539,0.00214244,0.000142522,nan,nan,nan,nan,nan,nan,nan,nan,1782373974720092,0,0,0
0.174194,0.0327164,0.00663214,0.0241103,-0.00424541,-0.00309406,0.00237748,-0.0324504,-0.000505696,-0.0547274,-0.00345055,0.000982523,0.00407792,nan,nan,nan,-0.0547605,nan,nan,nan,0,0,100,0,0.999625,-0,0,-0.0273768,0.129809,0.00210517,5.3544e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0199109,0.000305839,-0.000160988,0.000270501,0.0014076,0.00216091,0.000160994,nan,nan,nan,nan,nan,nan,nan,nan,1782373974739595,0,0,0
0.181685,0.0325823,0.00652499,0.0242325,-0.0040733,-0.00309701,0.0021604,-0.0324403,-0.000522294,-0.0547264,0.00123856,-0.00228458,0.000373933,nan,nan,nan,-0.0547605,nan,nan,nan,0,0,100,0,0.999625,-0,0,-0.0273768,0.129936,0.00208371,4.14969e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0208849,0.000287353,-0.000153132,0.000252213,0.00144159,0.00215306,0.000153138,nan,nan,nan,nan,nan,nan,nan,nan,1782373974750025,0,0,0
0.188073,0.032451,0.00641686,0.0243515,-0.00465423,-0.00380938,0.0022467,-0.0324991,-0.000495838,-0.0547453,-0.00643986,0.0025822,-0.00168402,nan,nan,nan,-0.0547605,nan,nan,nan,0,0,100,0,0.999625,-0,0,-0.0273768,0.129879,0.00198148,-3.43388e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0208849,0.000287353,-0.000153132,0.000252213,0.00144159,0.00215306,0.000153138,nan,nan,nan,nan,nan,nan,nan,nan,1782373974750025,0,0,0
0.200145,0.0321877,0.00620198,0.0245793,-0.0044353,-0.00361021,0.00225356,-0.0324674,-0.000476489,-0.0547297,-4.1431e-05,0.00188258,0.00247529,nan,nan,nan,-0.0547298,nan,nan,nan,0,0,100,0,0.999626,-0,0,-0.0273615,0.129864,0.00190649,-3.08794e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0186382,-0.000116575,-0.000141962,4.17005e-12,0.002,0.00183416,0.000165838,nan,nan,nan,nan,nan,nan,nan,nan,1782373974759006,0,0,0
0.212207,0.0320574,0.0060985,0.0246908,-0.00476421,-0.0031932,0.00207694,-0.0324425,-0.000485016,-0.0547296,0.00287866,-0.00137923,0.000311105,nan,nan,nan,-0.0547298,nan,nan,nan,0,0,100,0,0.999626,-0,0,-0.0273615,0.129764,0.00194012,2.15674e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0196258,0.000313743,-0.000121767,0.000320879,0.00143564,0.0021217,0.000121772,nan,nan,nan,nan,nan,nan,nan,nan,1782373974779957,0,0,0
0.230689,0.031801,0.00589884,0.0249023,-0.00492133,-0.00282369,0.002307,-0.0324566,-0.000463565,-0.0545902,0.000564202,-8.29242e-06,0.0108337,nan,nan,nan,-0.0546845,nan,nan,nan,0,0,100,0,0.999626,-0,0,-0.0273388,0.12982,0.00185675,-0.000242777,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0186791,-0.000597071,-0.000368986,0,0.002,0.00115481,0.000845187,nan,nan,nan,nan,nan,nan,nan,nan,1782373974799457,0,0,0
0.241591,0.0316707,0.00579865,0.025005,-0.00483404,-0.00421715,0.00233547,-0.0324376,-0.000495853,-0.054581,0.0021853,-0.00403781,0.00123361,nan,nan,nan,-0.054581,nan,nan,nan,0,0,100,0,0.999628,-0,0,-0.0272871,0.129724,0.00204354,7.38012e-06,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0186791,-0.000597071,-0.000368986,0,0.002,0.00115481,0.000845187,nan,nan,nan,nan,nan,nan,nan,nan,1782373974799457,0,0,0
0.250468,0.0315402,0.0056965,0.0251076,-0.00636357,-0.00350529,0.00237078,-0.0323866,-0.00048147,-0.0545685,0.00572076,0.00114281,0.00175439,nan,nan,nan,-0.054581,nan,nan,nan,0,0,100,0,0.999628,-0,0,-0.0272871,0.129427,0.00174134,-3.26921e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0193391,0.0018301,-0.000457468,0.00199973,0,0.00200014,1.36729e-07,nan,nan,nan,nan,nan,nan,nan,nan,1782373974809888,0,0,0
