time,e0,e1,e2,e3,wx,wy,wz,x,y,z,xp,yp,zp,input1,input2,input3,input4
0,0.999754,-0.0159696,-0.0111861,-0.0105935,0.00112596,-0.000820194,0.00303457,-0.0169194,0.0172714,0.0389293,-0.0153127,0.00288526,-0.00671321,2.99464,-0.0123885,-0.00486936,-0.0195532
0.02,0.999754,-0.0159626,-0.0111794,-0.0105985,0.0020173,0.00143411,-0.000759332,-0.0168234,0.0172508,0.0389253,-0.0159278,0.00300144,-0.00545722,4.24718,0.00632482,-0.0122691,0.0230936
0.04,0.999754,-0.0159587,-0.0111795,-0.0105949,0.00591888,0.00236161,0.00201116,-0.0166521,0.0172238,0.0389132,-0.0163474,0.00339045,-0.00526573,6.79972,-0.0187216,0.0116373,0.0118266
0.06,0.999754,-0.0159563,-0.0112116,-0.0105879,0.00559541,-0.00195802,-0.00155157,-0.0163847,0.017167,0.0389044,-0.0157329,0.00356153,-0.00648951,9.51333,-0.0177874,-0.0134758,0.00577821
0.08,0.999754,-0.0159578,-0.0112125,-0.0105967,0.000160327,-9.59561e-05,-0.00250581,-0.0159986,0.0170413,0.0389105,-0.0158602,0.00359951,-0.00553403,11.2479,-0.0282741,0.0257405,-0.00842249
0.1,0.999753,-0.015971,-0.0112271,-0.0105906,-0.00712892,0.00376375,-0.00329678,-0.0157207,0.0169799,0.038899,-0.0146876,0.00431819,-0.00689405,12.7918,0.02759,0.00342399,0.00763391
0.12,0.999753,-0.015985,-0.0112612,-0.0105937,-0.000408034,0.00563924,-0.000528841,-0.0151568,0.0168078,0.038898,-0.01452,0.00325322,-0.00568715,14.5855,0.0172736,-0.0281996,0.0241294
0.14,0.999752,-0.0160165,-0.0112634,-0.0105918,-0.000989638,0.00361474,0.00110863,-0.0148871,0.0166899,0.0389071,-0.0143154,0.00318312,-0.00571589,16.5293,-0.00134729,-0.0181968,-0.0204417
0.16,0.999752,-0.016036,-0.0112837,-0.0105732,-0.00844999,-0.00273261,0.00147593,-0.0146381,0.016589,0.0389074,-0.013856,0.0031071,-0.00593193,19.3387,-0.0208804,0.000501795,0.0225834
0.18,0.999752,-0.0160445,-0.011303,-0.0105542,-0.00873362,0.00504505,-0.000409833,-0.0142136,0.0164147,0.0388855,-0.0131976,0.00266972,-0.00690908,19.6626,0.0284337,0.00495135,-0.0285455
0.2,0.999752,-0.0160364,-0.011328,-0.0105587,0.00030413,-0.00439843,0.00157728,-0.0139453,0.0162905,0.0388756,-0.0126914,0.0021229,-0.006848,23.7908,-0.00699158,-0.028978,-0.0373323
0.22,0.999751,-0.0160489,-0.0113307,-0.0105551,0.00249697,0.00738313,-0.00983341,-0.0134788,0.0160521,0.0388616,-0.0133977,0.00145134,-0.00544247,24.6916,0.0115347,0.0117629,0.0376516
0.24,0.999752,-0.0160355,-0.0113485,-0.0105365,0.00632048,-0.00346186,-0.00372516,-0.0133375,0.0159785,0.0388564,-0.0126427,0.00174755,-0.00663549,26.2691,-0.0195259,-0.0237109,-0.00580405
0.26,0.999751,-0.0160735,-0.0113578,-0.010523,-0.0011023,-0.0027497,0.00183386,-0.0130616,0.0158433,0.0388453,-0.0121074,0.00138737,-0.00637723,26.5549,0.0236497,-0.0104652,0.0563064
0.28,0.999751,-0.0160775,-0.0113559,-0.0104956,0.00891123,-0.00988505,0.00409091,-0.012812,0.0157163,0.0388224,-0.012592,0.00118582,-0.00580121,29.6654,0.00945462,0.0128784,0.0103148
0.3,0.999751,-0.0161158,-0.0113723,-0.0104666,0.00219634,-0.00402497,0.00594387,-0.0125545,0.0155949,0.0388078,-0.0119049,0.000830128,-0.00563753,29.7341,0.00644392,-0.0298767,0.0108962
0.32,0.99975,-0.0161448,-0.0114063,-0.0104603,-0.00377745,0.00398483,-0.00105776,-0.012038,0.015346,0.0387748,-0.0106981,0.000781739,-0.00681973,31.4464,-0.000171419,-0.00395642,-0.114659
0.34,0.999749,-0.0161665,-0.0114059,-0.0104684,0.00509435,-0.00475712,-0.00657302,-0.0118498,0.0152543,0.0387632,-0.0111166,-9.14996e-05,-0.00592896,32.0096,-0.00854504,0.0166069,-0.0270857
0.36,0.999749,-0.0161707,-0.0114397,-0.0104669,0.00143167,-0.0090492,-0.000274852,-0.0113174,0.014985,0.038716,-0.010002,-0.000321951,-0.00698772,36.3934,-0.0288586,-0.000391502,0.0281147
0.38,0.999749,-0.0161733,-0.0114469,-0.0104909,0.0018119,-0.00288471,-0.00522322,-0.0109963,0.0148261,0.0386681,-0.00955586,0.000243356,-0.00662692,38.5483,-0.00576349,-0.0171475,0.0462748
0.4,0.999748,-0.0161949,-0.0114875,-0.0105009,0.0039652,-0.0111178,0.000337565,-0.0106742,0.0146973,0.0386215,-0.00940618,0.000765192,-0.00657935,36.2761,0.00841653,0.0202881,-0.132034
0.42,0.999747,-0.016204,-0.0115079,-0.0105064,0.00645388,-0.00935296,0.000510478,-0.0102853,0.0145326,0.0386058,-0.00879935,0.00125708,-0.00678785,36.2996,0.00277708,0.00516337,0.00679623
0.44,0.999747,-0.0162357,-0.0115425,-0.0104839,0.00060524,-0.00391215,-0.00226492,-0.00974554,0.0143315,0.0385601,-0.00844138,0.00209933,-0.00779892,39.2439,-0.00140301,-0.00776055,-0.0290732
0.46,0.999747,-0.0162448,-0.0115279,-0.0104904,-0.0102698,-0.00164111,0.00302715,-0.00941903,0.0142118,0.0385213,-0.00845428,0.00146464,-0.00773178,41.1937,-0.0141115,0.0114371,-0.0665996
0.48,0.999746,-0.0162619,-0.0115257,-0.0105065,-0.00418743,-0.000986343,0.000324556,-0.00911275,0.0140956,0.0384795,-0.00802145,0.00094313,-0.0078466,41.1948,-0.0175973,-0.0054311,0.00177214
0.5,0.999746,-0.0162638,-0.0115012,-0.0105304,-0.00331625,-0.00409698,0.00217302,-0.00882061,0.0139809,0.0384246,-0.00828077,-8.23988e-05,-0.00758709,40.7753,-0.0169927,0.000995947,0.0757109
0.52,0.999745,-0.0163007,-0.0114911,-0.0105506,-0.00690407,-0.00258531,-0.000245397,-0.00851131,0.0138533,0.038406,-0.00795893,-0.000259407,-0.00736251,42.1054,-0.00353647,-0.0222005,-0.0024336
0.54,0.999745,-0.0163001,-0.0114839,-0.0105995,-0.00415625,0.00281715,-0.00911761,-0.0080472,0.0136635,0.0384084,-0.00702865,0.000584148,-0.00781305,43.198,-0.0040834,-0.0245888,0.0341555
0.56,0.999744,-0.0163135,-0.0114777,-0.0106552,-0.00091184,0.00745504,-0.00621815,-0.0077551,0.0135556,0.0384001,-0.00633327,0.000245085,-0.00793619,43.2839,0.00763524,0.000863435,0.0970636
0.58,0.999743,-0.0162944,-0.0114979,-0.0107642,-0.000385708,-0.0040223,-0.0104517,-0.00747369,0.0134508,0.0383875,-0.00598118,-0.000165978,-0.00763332,41.3591,-0.0172972,-0.0120807,0.103302
0.6,0.999741,-0.0163131,-0.0115747,-0.0108241,0.00447551,-0.00502989,-0.00398108,-0.00720832,0.0133635,0.038373,-0.00564607,0.000843946,-0.0076852,41.2017,0.0302852,0.0359314,0.134816
0.62,0.999742,-0.0162836,-0.0116115,-0.0108066,0.00565607,-0.0071507,0.00305162,-0.00694659,0.0132997,0.0383919,-0.00615247,0.00110323,-0.00691974,43.5131,0.0144578,0.0211597,-0.0616217
0.64,0.999741,-0.0163008,-0.0116487,-0.0107796,-0.000570994,0.00263982,-0.0033755,-0.00657676,0.0132294,0.038501,-0.00685413,0.00216964,-0.00626905,43.2602,-0.0077268,0.00457049,-0.0666655
0.66,0.999741,-0.0163068,-0.011621,-0.0108455,-0.00800967,0.0038775,-0.0099905,-0.00636905,0.0132025,0.038561,-0.00732417,0.00204132,-0.00754529,38.6199,0.00185139,-0.0211197,0.138035
0.68,0.999741,-0.0162637,-0.0115832,-0.0108988,0.00291147,0.00651672,-0.00816297,-0.00618517,0.0131681,0.0386054,-0.00729346,0.000441727,-0.00706109,39.2425,-0.00142729,0.0191564,-0.0941926
0.7,0.999743,-0.0162617,-0.011528,-0.010843,0.00378322,0.00293182,0.00834369,-0.00590692,0.0130893,0.0386671,-0.00649189,-0.00122068,-0.00704991,39.698,-0.0467651,-0.0145827,-0.00963558
0.72,0.999742,-0.016282,-0.0115078,-0.0108476,-0.00208533,0.00335739,-0.000436442,-0.00572427,0.0130372,0.0387852,-0.00565563,-0.000466163,-0.00664702,41.0532,-0.00503312,0.011796,-0.0156968
0.74,0.999742,-0.0162947,-0.0114974,-0.0108905,-0.00384393,0.00278509,-0.00745532,-0.00554146,0.0130099,0.03891,-0.00495382,0.000319212,-0.0066682,39.0479,0.0780571,-0.0214063,-0.0305326
0.76,0.999742,-0.01627,-0.0115134,-0.0109239,0.000171761,0.00639504,0.000541242,-0.00536366,0.012998,0.0390214,-0.00431661,0.000558904,-0.0066011,38.3944,-0.00442522,-0.00871033,-0.0418429
0.78,0.999741,-0.0162698,-0.0115602,-0.0109126,-0.0111549,-0.000858294,-0.000475235,-0.00518735,0.0129925,0.0391276,-0.00320499,0.000193451,-0.00665377,38.2348,-0.00347768,0.0110591,0.0379114
0.8,0.999741,-0.0162864,-0.0115724,-0.0109032,0.00587101,-0.00165351,-0.00784899,-0.00493189,0.0129813,0.0392751,-0.0043063,-0.00106238,-0.00577805,37.9451,0.0541133,0.0222766,-0.127203
0.82,0.99974,-0.0162933,-0.0115941,-0.0109558,0.0164892,-0.000808614,-0.0098039,-0.00478161,0.0129681,0.0394162,-0.00392351,-0.000692466,-0.00532343,37.1162,-0.0197807,0.013505,-0.23574
0.84,0.999739,-0.0163105,-0.0116331,-0.0110192,0.0100253,-0.00568195,-0.00705157,-0.00464828,0.0129805,0.0395619,-0.00462925,0.000765083,-0.00551604,37.8717,0.00609555,0.00884588,-0.00219744
0.86,0.999739,-0.016292,-0.011616,-0.010992,-0.00166336,0.01065,0.00425756,-0.00453342,0.0130147,0.0396742,-0.00476794,0.000995154,-0.0064468,35.6511,0.073288,0.0238696,-0.226035
0.88,0.99974,-0.0162798,-0.0116061,-0.0109568,0.00151219,-0.000669421,0.0115408,-0.00448383,0.0130335,0.0397288,-0.00516982,0.000579858,-0.00669866,36.9421,-0.0121209,0.0116392,-0.0692632
0.9,0.999741,-0.0162721,-0.0115542,-0.0109519,0.0154386,0.00707697,-0.00848973,-0.00431987,0.0130759,0.0399224,-0.00597198,-0.00159952,-0.00641017,36.2878,-0.0099496,-0.0223639,-0.0151183
0.92,0.999739,-0.0163261,-0.011551,-0.0110161,0.00130785,-0.00694639,-0.00372815,-0.00422133,0.013087,0.0400564,-0.00528763,-0.00164828,-0.00545953,39.2494,-0.0261174,-0.00704724,0.0104127
0.94,0.999739,-0.0163584,-0.0115409,-0.011002,-0.0018227,0.00662842,0.00916265,-0.00412712,0.0131102,0.0401695,-0.00462879,-0.000612963,-0.00542381,38.965,0.00128491,0.00779939,-0.10294
0.96,0.99974,-0.0163624,-0.0115418,-0.0109346,-0.00319383,0.00430899,0.00749685,-0.00403552,0.0131483,0.0402741,-0.00448412,-0.000386523,-0.00521498,36.1889,-0.0159096,-7.72341e-05,-0.0482459
0.98,0.99974,-0.0163366,-0.0115904,-0.0109402,-0.000734383,-0.00343738,-0.00694706,-0.00391568,0.0131997,0.0404181,-0.0041687,-0.00142566,-0.00629907,39.3278,0.0165705,0.0139431,-0.0943722
1,0.999739,-0.0163058,-0.0115976,-0.0109908,0.0133803,-0.00374002,-0.0048104,-0.00384198,0.0132337,0.040501,-0.00428836,-0.00140643,-0.0056069,35.2748,-0.00175529,0.00959201,-0.131742
1.02,0.999739,-0.0163081,-0.0116262,-0.0109979,0.00247071,-0.00634076,-0.00448831,-0.00374259,0.0132485,0.0406187,-0.00417727,-0.00133214,-0.00560508,36.3754,0.0394513,-0.0265406,-0.0487299
1.04,0.99974,-0.0163008,-0.0116078,-0.0109696,0.00113625,-0.000928767,0.00336231,-0.00365365,0.0132736,0.0407228,-0.00435407,-0.00046094,-0.00523311,37.7865,-0.017756,-0.0188783,-0.128957
1.06,0.999739,-0.0163608,-0.0114472,-0.0110934,-0.0143226,0.0306457,-0.0266125,-0.00355018,0.0134137,0.0408723,-0.00317323,0.00662346,-0.0059078,40.1607,0.00469013,0.0210128,-0.197806
1.08,0.999737,-0.016251,-0.011309,-0.011549,0.0330632,-0.0200367,-0.052741,-0.00346768,0.0135884,0.0409319,-0.00282001,0.00589534,-0.00714184,33.1975,0.0226809,0.00887002,-0.100223
1.1,0.999737,-0.0159991,-0.0116453,-0.0116159,0.00885217,-0.0333068,0.0184348,-0.00337839,0.0136905,0.0410079,-0.000553426,-0.00164499,-0.00362777,38.8693,0.00809401,0.00745401,0.117573
1.12,0.999738,-0.0162422,-0.0116637,-0.0111483,-0.0308361,0.00283017,0.0584118,-0.00318221,0.013618,0.0411166,-0.00020489,-0.00696984,-0.00384744,38.3779,0.00287587,0.000873022,-0.0361884
1.14,0.999738,-0.0163941,-0.0117486,-0.0108125,0.00348518,-0.019095,0.0139158,-0.00303756,0.0135227,0.0412044,-0.00419594,-0.00466042,-0.00430765,37.7914,0.0168062,-0.016068,-0.0249976
1.16,0.999733,-0.0164375,-0.0115494,-0.0113869,0.00482828,0.0215129,-0.0556783,-0.0029441,0.0135748,0.0413109,-0.00640869,0.00572197,-0.00559772,38.1087,-0.0191913,-0.00506483,0.0602859
1.18,0.999735,-0.0162327,-0.0114733,-0.0116177,0.0198863,4.2002e-05,0.00592791,-0.00290004,0.0137233,0.0413557,-0.00423609,0.00744409,-0.00562163,36.737,0.00721732,-0.011339,0.0648792
1.2,0.99974,-0.0162084,-0.0114414,-0.0112574,-0.0124279,0.00430849,0.0572293,-0.00281113,0.0138614,0.041404,-0.00122193,0.00301647,-0.00461401,41.6332,0.000266312,0.011776,-0.0837409
1.22,0.999742,-0.0162622,-0.0114979,-0.0108816,-0.00523381,-0.0223101,0.0260143,-0.00265912,0.0138925,0.041448,-0.00121259,-0.00114693,-0.00395003,38.9714,0.00976165,-0.00320891,-0.104024
1.24,0.999738,-0.0163463,-0.0115739,-0.0110996,-0.012673,0.00981133,-0.0437116,-0.00242303,0.0138448,0.0415129,-0.00248163,-0.00103164,-0.00316218,41.2137,-0.0153565,0.0191877,-0.116842
1.26,0.999736,-0.016337,-0.0115717,-0.0113096,-0.00533414,0.00190523,-0.00456127,-0.0023057,0.0138531,0.0415393,-0.00320541,0.00204609,-0.00434418,36.4184,-0.0157449,-0.0131808,-0.135334
1.28,0.999738,-0.0163224,-0.0115448,-0.0111305,-0.0104865,0.00495007,0.0387448,-0.00220728,0.013912,0.0415518,-0.00368841,0.00315149,-0.00452312,37.0982,-0.0105642,0.00732507,-0.122128
1.3,0.999742,-0.0163645,-0.0114581,-0.0107821,-0.00284062,0.00618198,0.0363074,-0.00214256,0.01397,0.0415512,-0.00544113,0.00121853,-0.00485573,37.4607,-0.0113086,0.00126756,-0.101323
1.32,0.999743,-0.0163957,-0.0113866,-0.0107107,-0.00658636,0.00897437,0.016796,-0.00212025,0.0139883,0.0415522,-0.00624775,0.000416662,-0.00357844,37.9028,0.0116041,0.00190793,-0.210934
1.34,0.999742,-0.0164108,-0.0111553,-0.011042,-0.00717726,0.0130255,-0.0196041,-0.00190685,0.0140298,0.0415145,-0.00384091,-0.000656266,-0.00334989,37.1907,0.000402124,0.00329241,0.116152
1.36,0.999743,-0.0164156,-0.011107,-0.0110277,-0.00741116,0.00680762,0.00849421,-0.00176944,0.014064,0.0414966,-0.00137945,0.00058266,-0.00313591,41.0805,-0.0120636,0.00233068,-0.0247981
1.38,0.999744,-0.0164061,-0.0111501,-0.0108454,0.00171961,-0.00384347,0.0210973,-0.001601,0.0141168,0.0414806,0.000558167,0.000836893,-0.00270536,37.1924,0.0032144,-0.00295487,0.0841656
1.4,0.999744,-0.0164098,-0.0112449,-0.0107873,-0.00217099,-0.0105212,-0.00365027,-0.00141435,0.0141687,0.0414682,0.0018524,0.000304963,-0.00259482,38.7814,0.0138197,0.0126262,-0.296567
1.42,0.999741,-0.0163723,-0.0113573,-0.0109962,0.00910672,-0.00402113,-0.0205193,-0.00104444,0.0142174,0.0414389,0.00251148,-0.00139722,-0.00290202,39.5045,0.00749078,0.0335978,0.0451187
1.44,0.999739,-0.0163914,-0.0114466,-0.0110544,-0.00286106,-0.00958248,-0.00029643,-0.000781349,0.0142353,0.0414139,0.00223721,-0.00121968,-0.00236786,37.4984,0.0193554,0.0135398,-0.0348482
1.46,0.999739,-0.016414,-0.0115125,-0.0109696,0.00177485,-0.00285539,0.0134613,-0.000545991,0.0142693,0.0413874,0.00103049,-0.000165317,-0.00286499,39.807,0.00700553,0.00367761,-0.186917
1.48,0.99974,-0.01642,-0.0115138,-0.0108829,-0.00209517,0.00997315,0.00925741,-0.000348579,0.0143202,0.0413484,-0.000590711,0.00026894,-0.00338008,42.6331,-0.0275526,-0.0201752,-0.179135
1.5,0.999739,-0.0164247,-0.0114357,-0.0109764,0.00498882,0.00502468,-0.0118503,-0.000125845,0.0144048,0.0412828,-0.00210765,-0.000259699,-0.00413219,37.8032,0.00922493,-0.00787272,0.0696235
1.52,0.99974,-0.0164375,-0.0113302,-0.0110358,0.00838534,0.00289556,-0.00691596,6.38305e-05,0.0144343,0.0412251,-0.00158304,-0.00120466,-0.00316639,37.3614,0.0142668,-0.0127804,-0.0827128
1.54,0.999741,-0.0164583,-0.0112688,-0.0109991,0.000324219,0.0116896,0.0026428,0.000264127,0.0144529,0.0411719,-5.94384e-05,-0.00171472,-0.00322026,37.827,-0.00616158,0.00414565,0.0714541
1.56,0.999741,-0.0165041,-0.011261,-0.0109167,-0.00085386,0.001571,0.0054507,0.000473011,0.014472,0.0411149,0.000797495,-0.00130881,-0.00334489,40.6348,0.0309806,0.000309732,-0.13488
1.58,0.99974,-0.0165174,-0.0112849,-0.0109133,0.00101815,-0.00168956,-0.00650752,0.00068155,0.0145013,0.0410555,0.0016398,-0.000915572,-0.00340484,40.5402,-0.000400453,-1.94938e-05,0.105849
1.6,0.999739,-0.016495,-0.0113665,-0.0110099,0.00274295,-0.00694952,-0.00831333,0.00100119,0.0145567,0.040966,0.00269817,-0.000858824,-0.00409398,35.8072,0.0148907,0.00900549,0.0749504
1.62,0.999738,-0.0165095,-0.011415,-0.010989,-0.00232097,-0.00668915,0.00828261,0.00125679,0.0145796,0.0409357,0.00311393,-0.00112607,-0.00417262,38.0555,0.015359,0.0236593,-0.046295
1.64,0.999738,-0.0165211,-0.011478,-0.010938,0.00337857,-0.0042744,0.00716005,0.0015102,0.0145988,0.0408891,0.00273634,-0.00160167,-0.00375422,42.6335,-0.00441188,0.00211355,-0.0720715
1.66,0.999738,-0.0165314,-0.0114786,-0.0109153,0.00124159,0.00197402,-0.00331183,0.00173261,0.0146126,0.040843,0.00176336,-0.00190903,-0.00375684,41.152,-0.0285585,0.00994006,0.00742317
1.68,0.999737,-0.0165365,-0.0114702,-0.0109904,0.00155082,0.00241419,-0.00799463,0.00201566,0.0146324,0.0407658,0.00108367,-0.00175937,-0.0052426,37.7576,0.00244487,0.000528211,-0.0436264
1.7,0.999737,-0.0165425,-0.0114226,-0.0110371,-0.000728968,0.00352296,-0.00639062,0.00218609,0.0146558,0.0407067,0.00124897,-0.00153598,-0.00500763,38.5585,0.0215118,0.00914772,-0.0336619
1.72,0.999738,-0.0165429,-0.0114082,-0.0109895,0.00678108,0.00164963,0.00637671,0.00237471,0.0146808,0.0406906,0.00166297,-0.00147204,-0.00541745,40.4267,0.00575449,-0.00978849,0.169846
1.74,0.999738,-0.0165579,-0.0113826,-0.010961,0.00180698,-0.00268189,-0.00102582,0.00256479,0.014708,0.040667,0.00241534,-0.00146195,-0.00500399,39.037,0.00603883,0.0045849,-0.00722333
1.76,0.999737,-0.0166009,-0.011385,-0.0110022,-0.00553686,0.000309384,-0.00519754,0.00286316,0.0147493,0.04062,0.00375606,-0.00130682,-0.00496591,38.7091,-0.0158627,0.00183845,-0.156209
1.78,0.999736,-0.0166052,-0.0114168,-0.0110243,-0.00517598,-0.00318345,-0.00656046,0.00306028,0.0147884,0.0405957,0.00463418,-0.000582836,-0.00497104,37.9867,0.0211297,0.0253712,0.180664
1.8,0.999736,-0.016614,-0.0114663,-0.0109781,0.00693101,-0.00894244,0.00669144,0.00326679,0.0148393,0.0405704,0.00515737,-0.000231225,-0.00478925,41.4582,0.000658056,0.00988407,0.173798
1.82,0.999736,-0.0166283,-0.0115022,-0.0109518,0.000358274,-0.00909602,0.00162955,0.00347477,0.0149114,0.0406028,0.00490163,-0.000314028,-0.00498974,37.2545,-0.00803891,-0.00554886,0.0240466
1.84,0.999736,-0.0166129,-0.011522,-0.0109456,0.00618299,-0.0128589,-0.00538228,0.00366932,0.0149756,0.0406295,0.00466948,-0.00126745,-0.00438905,39.2067,0.0023889,0.0395804,-0.0357998
