time,e0,e1,e2,e3,wx,wy,wz,x,y,z,xp,yp,zp,input1,input2,input3,input4
0.56,0.999959,-0.00878095,0.00130449,-0.0015139,0.000489523,0.000621804,-0.00119416,0.0621598,0.00153591,0.0415966,0.00914757,0.0140156,0.0965639,31.372,-0.000779077,-2.67029e-05,0.0449576
0.58,0.99996,-0.00875279,0.00130047,-0.00149769,0.00235374,0.00088812,0.000403737,0.0624246,0.00180634,0.0418511,0.0090528,0.0140902,0.0964013,31.7222,0.0139635,0.0618001,-0.117319
0.6,0.99996,-0.00875444,0.00131825,-0.00150596,-0.00164162,0.00368427,-0.000926694,0.0625939,0.00198938,0.0421288,0.00886408,0.0144196,0.0964852,31.7893,-0.00313861,0.0163692,-0.140162
0.62,0.999958,-0.00895214,0.00131951,-0.00151767,-0.0335996,-0.00244102,-0.000127707,0.0629935,0.00249196,0.0432192,0.0085227,0.017741,0.099249,33.4938,-0.0289901,0.0125908,-0.00190654
0.64,0.999958,-0.00889632,0.00128731,-0.00154651,0.00474954,-0.00110933,-0.00305722,0.0633604,0.00310875,0.0441915,0.00859512,0.0176074,0.0978941,32.7584,-0.0165901,-0.00613362,-0.192856
0.66,0.999959,-0.00888416,0.00128179,-0.00155728,0.00315164,-0.00137564,-0.00265775,0.0634334,0.00321276,0.0442778,0.00857975,0.0168401,0.0979572,30.4186,-0.017605,0.0233768,-0.00190481
0.68,0.999959,-0.00887304,0.00127532,-0.00155579,0.00288532,-0.00164196,0.000404891,0.0634964,0.0032989,0.0443175,0.00847546,0.0161739,0.097869,33.224,0.0262176,0.00128631,-0.127995
0.7,0.999959,-0.00888394,0.0012782,-0.00156347,-0.00151019,0.000755887,-0.00239141,0.0638921,0.00374079,0.0443121,0.00925361,0.0155981,0.0973097,33.607,-0.00432189,0.0160918,0.0900812
0.72,0.999959,-0.00887785,0.00124191,-0.00157011,0.000886645,-0.00217358,0.000138598,0.0641525,0.00405415,0.0442939,0.00907465,0.0169182,0.096796,34.9015,-0.00318873,0.0062583,-0.0917484
0.74,0.999959,-0.00886749,0.00123734,-0.00155743,0.00275085,-0.00124146,0.00320124,0.0642161,0.00413967,0.0443484,0.00926264,0.0170154,0.0967555,31.8525,-0.0145531,0.0324358,0.0606771
0.76,0.999959,-0.00883874,0.00125644,-0.00155028,0.0032834,0.000356033,0.000137675,0.0644688,0.00450417,0.0447831,0.00920785,0.0181317,0.0965035,33.087,0.00806007,0.00320388,-0.0297268
0.78,0.999959,-0.00885463,0.00126825,-0.0015577,-4.6046e-05,0.00222039,-0.0014602,0.0648172,0.00503258,0.0446434,0.00838931,0.0182678,0.0969679,34.1948,0.0163354,0.00394143,-0.103303
0.8,0.999959,-0.0088538,0.00126945,-0.00156388,0.00101868,0.00142154,0.0001377,0.0649287,0.00518437,0.044356,0.00869215,0.0184061,0.09659,33.6725,-0.00230441,-0.00221652,0.187565
0.82,0.999959,-0.00885459,0.00130893,-0.00157466,0.000219721,0.0050168,-0.00225915,0.065044,0.00534443,0.044175,0.00895355,0.01867,0.0965616,34.659,-0.0116531,0.0139186,-0.0446735
0.84,0.999959,-0.00885967,0.00129816,-0.00158744,0.000218642,0.00142243,0.000803501,0.0652889,0.00572032,0.0438637,0.00864562,0.0196003,0.0960719,32.0576,-0.0384169,0.0316239,-0.210831
0.86,0.999959,-0.00884537,0.00131147,-0.00158435,0.00194969,-0.000574946,-0.0001286,0.0655351,0.00616435,0.0441525,0.00909698,0.0203777,0.0961918,35.6711,-0.00491408,0.00784993,-0.110933
0.88,0.999959,-0.00883789,0.00131538,-0.00158448,0.00208285,0.000889793,4.5554e-06,0.065585,0.00625942,0.0442748,0.00910688,0.0205674,0.0962494,33.0945,-0.00727774,0.0237911,0.0778477
0.9,0.999959,-0.00883071,0.00132691,-0.00155069,0.00048504,0.00128979,0.00320098,0.0657288,0.00655599,0.0447681,0.00884762,0.0209356,0.0965515,33.4004,0.0165579,-0.0103079,0.068552
0.92,0.999959,-0.00882133,0.00133674,-0.00157233,-0.00137917,-0.00203917,-0.000660594,0.0660009,0.00718734,0.046319,0.00858429,0.021042,0.0978586,32.8081,0.00219349,-0.00450016,-0.00806491
0.94,0.999959,-0.00880083,0.00135759,-0.00156702,0.00234825,-0.000174716,-0.00252482,0.0661793,0.00753701,0.0466059,0.00841077,0.021742,0.0979786,33.5243,0.00879285,0.0127033,-0.0896396
0.96,0.999959,-0.00879654,0.00135128,-0.00157186,0.00128299,-0.00163946,-0.00119323,0.0662225,0.00763119,0.0467357,0.00847081,0.0219258,0.0981617,33.3519,-0.0138364,0.00123355,-0.153752
0.98,0.999959,-0.00876763,0.00135887,-0.00158724,0.00394451,-4.05924e-05,0.00173628,0.0663725,0.00797706,0.0472598,0.00835173,0.0225508,0.0981197,33.9792,0.00707772,0.0154719,0.153837
1,0.999959,-0.00878913,0.00137518,-0.00159254,-0.00111648,0.00182395,-0.0011932,0.0665501,0.00840333,0.0477583,0.00867798,0.0241034,0.0984838,34.998,0.00125758,0.0147209,0.195905
1.02,0.999959,-0.00879006,0.00137821,-0.00158466,8.19356e-05,0.000625524,0.00200259,0.0665871,0.00848493,0.0477655,0.00886345,0.0242364,0.0986596,33.7324,-0.0216073,0.0133793,-0.0516537
1.04,0.999959,-0.00880345,0.00137584,-0.00158485,0.00114685,-0.00177181,-0.000127608,0.066704,0.00875072,0.0479274,0.00899423,0.024872,0.098363,31.8896,0.00709518,0.00373609,0.0268566
1.06,0.999958,-0.00896481,0.00137001,-0.00161686,0.00367685,0.00155714,0.000804492,0.0668939,0.00930578,0.0486809,0.00862981,0.0284591,0.0988623,36.4271,-0.0254926,0.0103713,-0.0183627
