timestamp_us,px,py,pz,qw,qx,qy,qz
1107607050,0.0547145,-0.00272123,0.0186536,0.99996,9.05256e-05,-0.00572429,-0.00692875
1107767403,0.0529891,-0.00437579,0.0239163,0.999948,0.00088417,-0.00777219,-0.00657355
1107863676,0.0579612,-0.00347986,0.0138452,0.999934,0.00235108,-0.00836381,-0.00752535
1107942248,0.0521015,-0.0142837,0.0188071,0.999948,-0.00349597,-0.00716953,-0.00636641
1107997543,0.0511884,-0.0155124,0.0198569,0.999948,-0.00359875,-0.00706491,-0.00635489
1108177996,0.0486211,-0.00287987,0.0181731,0.999944,0.000357369,-0.0085098,-0.0063399
1108312456,0.0524044,-0.00337518,0.0219641,0.999967,0.00134876,-0.00576367,-0.00547859
1108402870,0.0532752,-0.00475466,0.0223848,0.999967,0.000854655,-0.00579382,-0.00565872
1108505566,0.0534499,-0.0056642,0.0224635,0.999967,0.000549541,-0.00579591,-0.00570122
1108656648,0.0473899,-0.00159052,0.030516,0.999944,0.00354458,-0.00513326,-0.00859988
1108747245,0.0467114,-0.00148739,0.0310957,0.999944,0.00354227,-0.005014,-0.00861324
1108856066,0.0518648,-0.00961765,0.0246726,0.999942,-0.0016875,-0.00741515,-0.0076002
1109121668,0.0520339,-0.00920735,0.0206874,0.999942,-0.00128882,-0.00760996,-0.00752061
1109199210,0.0523287,-0.00900166,0.0182602,0.999941,-0.00103816,-0.0077825,-0.0075235
1109309947,0.0507795,-0.00276852,0.0208874,0.999961,0.000692413,-0.00576417,-0.00672929
1109457380,0.0504541,0.00239395,0.0200639,0.999954,0.00287527,-0.00681287,-0.00608336
1109655237,0.049747,-0.00101934,0.0236693,0.999948,0.00135325,-0.00654153,-0.00769061
1109777088,0.0499265,-0.00376555,0.0262593,0.999947,0.00267799,-0.00685188,-0.00718899
1109851909,0.0497585,-0.00410618,0.0269607,0.999947,0.00264951,-0.00679886,-0.00721747
1110162252,0.0496834,-0.00425148,0.0272849,0.999947,0.00263474,-0.00677612,-0.00722803
1110281246,0.0496407,-0.00433246,0.0274714,0.999948,0.00262588,-0.00676341,-0.00723356
1110465174,0.0496132,-0.00438413,0.0275925,0.999948,0.00262002,-0.00675527,-0.00723697
1110628259,0.049594,-0.00441998,0.0276774,0.999948,0.00261585,-0.00674962,-0.00723929
