timestamp_us,qw,qx,qy,qz,avx,avy,avz,ax,ay,az
20187823,-0.123923,-0.000846319,0.000343546,-0.992291,0.0126573,0.0024039,0.000559437,0.0174046,-0.036317,0.00146106
20263162,-0.123919,-0.000338542,-0.000229229,-0.992292,-0.00536337,0.00695374,-0.00118869,0.00893599,0.00257104,-0.024866
20270992,-0.123921,-0.000686991,-0.000922132,-0.992291,-0.00484133,-0.0054571,0.000464236,0.0611617,0.11129,0.0240811
20279061,-0.123916,-0.000319785,-0.000172701,-0.992293,-0.0120318,0.00803948,-0.00125293,-0.0449636,-0.15397,-0.0247645
20287053,-0.123917,-0.000977728,-0.000610102,-0.992292,-0.000724423,-0.00281634,0.000434741,0.0616953,0.0329273,0.0240429
20294973,-0.123919,-0.000899062,0.000135576,-0.992292,0.0126516,0.00240269,0.000559786,0.0172706,-0.0410763,0.00144615
20302987,-0.123915,-0.000304501,-0.000346401,-0.992293,-0.00536419,0.00695482,-0.00118735,0.0102701,-0.000179009,-0.024859
20311034,-0.123916,-0.000664269,-0.00103304,-0.992292,-0.00484097,-0.00545758,0.000462608,0.0622755,0.108665,0.0240864
20318937,-0.123912,-0.000304897,-0.000279415,-0.992293,-0.0120295,0.00804098,-0.00125237,-0.0440147,-0.156476,-0.0247843
20327000,-0.123913,-0.000978016,-0.000693616,-0.992292,-0.000723587,-0.00281665,0.000434271,0.0623037,0.0308425,0.0240358
20334955,-0.123915,-0.00090818,5.36034e-05,-0.992292,0.0126517,0.0024023,0.000560232,0.0177024,-0.0431378,0.00143959
20343045,-0.12391,-0.000279444,-0.000384688,-0.992293,-0.00536325,0.00695584,-0.00118686,0.0112563,-0.0013059,-0.0248522
20351009,-0.123912,-0.000646049,-0.00106746,-0.992292,-0.00484108,-0.00545818,0.000461945,0.0631245,0.107585,0.0240767
20359063,-0.123914,-0.00043197,-0.000327103,-0.992293,0.00721715,0.00148807,0.00059736,0.00453277,-0.0840406,0.00112914
20367026,-0.123916,-0.000623033,-0.00103873,-0.992292,-0.0150204,-0.00783785,0.000361924,0.0273233,0.0526467,-0.00202655
20375153,-0.123918,-0.000430727,-0.000302633,-0.992292,0.00932649,0.00423024,0.000547602,-0.00967934,-0.186288,0.00112475
20445435,-0.123913,-0.000439307,0.00050936,-0.992293,-0.00179929,0.00867608,-0.00120484,0.0192008,-0.0328148,-0.0248028
20453402,-0.123915,-0.000780184,-0.000202568,-0.992292,-0.00113004,-0.00506351,0.000460623,0.0762445,0.158594,0.0240936
20461461,-0.123917,-0.000388895,0.00045639,-0.992292,0.00860793,0.00137533,0.00058628,0.0107217,-0.0205027,0.00130654
20469502,-0.123919,-0.000529069,-0.000267174,-0.992292,-0.0153326,-0.00799082,0.000367766,0.0276627,0.0921684,-0.00205087
20477576,-0.123926,-8.12952e-05,0.000343593,-0.992291,0.0021748,0.0170628,0.00165858,-0.0285655,-0.0730311,-0.0206982
20485426,-0.123927,-0.000662317,0.0012398,-0.99229,-0.0184916,0.09764,0.000186268,0.0311618,-0.056976,0.0201911
20493473,-0.123929,-0.00133623,0.00151567,-0.992289,-0.00590672,-0.0199549,0.000294895,0.58247,-0.124068,0.00347709
20501519,-0.123928,-0.000431965,0.00139984,-0.99229,0.00278601,-0.0279353,0.000218321,-0.210295,-0.00712982,-0.00130461
20509482,-0.123928,0.000321397,0.00106191,-0.992291,0.00389391,-0.00528023,0.000117318,-0.305559,0.0904018,-0.00178627
20517608,-0.123927,0.000828663,0.000453585,-0.992291,0.00156957,0.0045749,6.63153e-05,-0.0967451,0.0971127,-0.00104871
20581144,-0.123927,0.000415683,-0.000240244,-0.992291,-0.000517286,0.00518709,4.46202e-05,0.0381169,0.0472548,-0.000740259
20588950,-0.123927,-0.000399055,-0.000247689,-0.992291,-0.00120877,0.00356007,3.02283e-05,0.071925,0.00328205,-0.000505856
20597031,-0.123927,-0.00113609,8.53841e-05,-0.992291,-0.000870358,0.00197532,2.04994e-05,0.0582394,-0.0172513,-0.000291492
20605027,-0.123926,-0.0016953,0.000662129,-0.99229,-0.000199775,0.000920771,1.32151e-05,0.0292469,-0.0143667,-0.000155217
20613098,-0.123925,-0.00133566,0.00137548,-0.99229,8.00617e-05,0.000667583,9.96554e-06,0.0197554,0.00266436,-0.000140379
20621162,-0.123925,-0.000904399,0.000700963,-0.992291,0.00040369,0.00076505,7.46798e-06,0.0159972,-0.00320897,-0.000144651
20629079,-0.123925,-0.000335783,0.00014146,-0.992291,0.000349158,0.00107752,7.7491e-06,0.0203642,-0.00704852,-0.000137588
20637045,-0.123925,-0.00111432,0.000346877,-0.992291,0.000256012,0.00134793,6.48423e-06,0.00356894,-0.00278183,-9.56574e-05
20645003,-0.123926,-0.00036802,7.21636e-05,-0.992291,0.000184205,0.00153328,7.06573e-06,0.019267,-0.00512555,-9.93751e-05
20653070,-0.123926,-0.00117532,6.89927e-05,-0.992291,0.000136327,0.0016429,7.0006e-06,0.00436647,-0.00629069,-7.11833e-05
20661196,-0.123926,-0.000382827,3.40877e-05,-0.992291,0.000100734,0.00170014,6.88462e-06,0.0204349,-0.00437418,-8.33328e-05
20669012,-0.123926,-0.00118806,-3.03199e-05,-0.992291,7.08514e-05,0.00172759,7.24659e-06,0.00514366,-0.00713663,-6.0662e-05
20677072,-0.123926,-0.00039641,1.91195e-05,-0.992291,4.61369e-05,0.0017412,6.7819e-06,0.0204176,-0.00402128,-7.6274e-05
20685105,-0.123926,-0.0011991,-6.38853e-05,-0.992291,3.61776e-05,0.00174576,7.32339e-06,0.00490945,-0.00748634,-5.71049e-05
20756318,-0.123926,-0.000409686,1.57633e-05,-0.992291,1.63446e-05,0.00175652,6.72154e-06,0.0199521,-0.00399562,-7.31991e-05
20764236,-0.123926,-0.00121189,-8.19906e-05,-0.992291,1.27278e-05,0.00175963,7.37107e-06,0.00447414,-0.00783404,-5.55997e-05
20772213,-0.123926,-0.000423621,1.19287e-05,-0.992291,7.73283e-06,0.00176752,6.70835e-06,0.0195322,-0.00404509,-7.13311e-05
20780250,-0.123926,-0.00122007,-0.000116681,-0.992291,7.11442e-06,0.00177124,7.48939e-06,0.00431857,-0.00841337,-5.52398e-05
20788234,-0.123926,-0.000435312,5.13694e-06,-0.992291,7.18562e-06,0.0017737,6.71914e-06,0.0192895,-0.00402409,-7.02833e-05
20796266,-0.123926,-0.00122324,-0.000172807,-0.992291,7.40257e-06,0.00177514,7.67349e-06,0.00438401,-0.00927878,-5.57222e-05
20804211,-0.123926,-0.000447213,-2.85761e-06,-0.992291,7.47613e-06,0.00177587,6.73645e-06,0.0190675,-0.00395765,-6.96047e-05
20812117,-0.123926,-0.00121873,-0.000237701,-0.992291,7.43255e-06,0.00177617,7.88487e-06,0.00461181,-0.0102768,-5.6689e-05
20820254,-0.123926,-0.000457385,-1.06337e-05,-0.992291,7.33499e-06,0.00177629,6.75224e-06,0.0188622,-0.00388327,-6.90982e-05
20828178,-0.123926,-0.00120682,-0.000309183,-0.992291,7.23017e-06,0.00177631,8.11655e-06,0.00498511,-0.0113928,-5.806e-05
20836397,-0.123926,-0.000467289,-1.84957e-05,-0.992291,7.12787e-06,0.00177634,6.7685e-06,0.0186532,-0.00381689,-6.86511e-05
20844595,-0.123926,-0.00118474,-0.000387147,-0.992291,7.09661e-06,0.00177635,8.36694e-06,0.00556799,-0.0126147,-5.98557e-05
20852466,-0.123926,-0.000476517,-2.63299e-05,-0.992291,7.06468e-06,0.00177638,6.78488e-06,0.0184567,-0.00375016,-6.82448e-05
20860498,-0.123926,-0.00114914,-0.000469481,-0.992291,7.05066e-06,0.00177639,8.62703e-06,0.00642564,-0.0138884,-6.2098e-05
20868548,-0.123926,-0.000484105,-3.34432e-05,-0.992291,7.05789e-06,0.00177641,6.7981e-06,0.0182913,-0.00366461,-6.78981e-05
20876545,-0.123926,-0.00110034,-0.000551432,-0.992291,7.05975e-06,0.00177641,8.88028e-06,0.00753982,-0.0151218,-6.4712e-05
20884570,-0.123926,-0.000490714,-3.99597e-05,-0.992291,7.04264e-06,0.00177642,6.80875e-06,0.018144,-0.00356418,-6.75874e-05
20954675,-0.123926,-0.00104016,-0.00062752,-0.992291,7.05489e-06,0.00177641,9.10793e-06,0.00886137,-0.0162132,-6.75586e-05
20962726,-0.123926,-0.000496405,-4.55929e-05,-0.992291,7.04505e-06,0.00177641,6.81604e-06,0.0180123,-0.00344447,-6.73e-05
20970622,-0.123927,-0.000972507,-0.000692954,-0.992291,7.02903e-06,0.00177639,9.29473e-06,0.0103024,-0.0170789,-7.04376e-05
20978538,-0.123926,-0.000501246,-4.99637e-05,-0.992291,7.03503e-06,0.0017764,6.81121e-06,0.017894,-0.00329834,-6.70305e-05
