timestamp_us,px,py,pz,qw,qx,qy,qz
20323766,0.0150763,-0.000132858,0.00381832,1,0.000249891,0.000210566,0.000242664
20482399,0.0152586,-0.000512054,0.00371981,1,0.000253062,0.000126581,0.000141954
20616055,0.0156173,-0.000457059,0.00383558,1,0.000289803,0.000154521,0.000162101
20798869,0.0169221,-0.00114648,0.00437363,1,0.000276691,0.000374837,4.3041e-05
20990902,0.0179521,-0.000831528,0.00472039,1,0.000407684,0.00034442,8.39367e-05
21151919,0.0190999,-0.00195391,0.00430166,1,0.000475714,0.000337382,0.000110777
21327494,0.0200205,-0.00152589,0.00507027,1,0.000272229,0.00045506,0.000146805
21478453,0.0214708,-0.00207455,0.00466327,1,0.00034494,0.000366516,7.54779e-05
21643910,0.0220098,-0.00231214,0.00484405,1,0.000402597,0.000298529,9.68819e-05
21832662,0.0224915,-0.00121711,0.0044559,1,6.55155e-05,0.000269186,0.000101326
21986830,0.0241093,-0.000648607,0.00360145,1,7.92412e-05,0.000193337,0.000195866
22169665,0.0245896,-0.000117304,0.0031684,1,-9.07073e-05,0.000391866,0.000102883
22321203,0.0251792,-0.000898881,0.00266074,1,-8.23576e-05,0.000528119,9.61375e-05
22483157,0.0257352,0.000259137,0.00323137,1,2.05213e-05,0.000736841,1.41312e-05
22646296,0.0281711,0.000121845,0.00382356,1,0.000351567,0.000335352,-3.93955e-05
22869490,0.0287437,0.000660852,0.00401186,1,0.000368118,0.000381418,1.61729e-06
23059375,0.0295809,0.000466133,0.00451961,1,0.000381206,0.000506703,0.000122484
23225819,0.0313089,-0.00043048,0.00473151,1,0.000583761,0.000360339,-4.0991e-05
23411449,0.0320618,-0.000853816,0.00485029,1,0.000259334,0.000427181,-2.93164e-05
23577771,0.0332979,-0.00110667,0.00496111,1,0.000394559,0.000229503,-6.97271e-05
23731808,0.034634,-0.000962246,0.0045652,1,0.000186704,8.11572e-05,1.08614e-05
23918346,0.0356984,0.000250645,0.00445639,1,0.000185728,0.000224203,-0.000100905
24087196,0.0361449,0.0010779,0.00415937,1,0.000162498,0.000299941,3.08832e-05
24250791,0.03612,0.00105219,0.004073,1,0.000163209,0.000346288,4.12815e-05
24446306,0.0365522,0.000321031,0.00431138,1,0.000448433,0.000277591,-0.000123848
24684167,0.0373895,6.93535e-05,0.00438333,1,0.000468994,0.00030989,-4.08296e-05
24902156,0.0376812,-0.000802461,0.00433604,1,0.00053257,0.00029541,-0.000104294
25058614,0.0377958,-0.0011114,0.00425693,1,0.000492115,0.000330129,-0.000210736
25225651,0.0387635,-0.000689958,0.00428058,1,0.000395768,0.000228062,-7.47473e-05
25411276,0.0396129,4.27872e-05,0.00442184,1,0.000250881,-6.10437e-06,-3.04347e-05
25626045,0.0409931,0.000886402,0.00431983,1,0.000115284,0.000349354,-6.38687e-06
25833724,0.0408453,0.000459451,0.00441182,1,0.000309977,0.000110952,-0.000117993
26008571,0.0410815,0.000186388,0.00455697,1,0.00028551,0.000128988,-0.000109435
26214812,0.0420484,6.70556e-05,0.0049797,1,0.000347742,0.000190644,-8.60301e-05
26410972,0.0423964,-0.000258262,0.00496233,1,0.000508531,0.000128201,-0.000158904
26582251,0.0432205,-0.000223269,0.00457694,1,0.000467534,0.00028041,-4.28832e-05
26778513,0.04315,-0.000958605,0.00438075,1,0.000429147,0.000110589,-0.000185495
26982002,0.0442226,-0.00111411,0.00449248,1,0.000437684,8.3471e-05,-0.00024987
27110520,0.0444193,-0.00151688,0.00442017,1,0.000484347,5.78675e-05,-0.000251386
