timestamp_us,qw,qx,qy,qz,avx,avy,avz,ax,ay,az
12879193,1,0.000636305,-0.000525971,6.09967e-05,-0.0047191,-0.00541531,0.000479901,0.0533968,0.143825,0.0238983
12887427,1,-0.000142001,-0.000227914,6.61031e-05,-0.0120402,0.00804213,-0.00126425,-0.0525343,-0.124067,-0.0245098
12895253,1,0.000438241,-0.000765745,6.41319e-05,-0.00077184,-0.00281305,0.000440965,0.0549287,0.0597231,0.0240311
12903348,1,-0.000312569,-0.000782061,6.2547e-05,0.0126062,0.00240294,0.000547926,0.0103037,-0.015541,0.00151387
12911431,1,0.000240065,-0.000251903,6.70295e-05,-0.00539977,0.0069457,-0.00119979,0.000920327,0.0219232,-0.0249252
12919413,0.999999,0.000974403,-0.00050214,6.49808e-05,-0.00485406,-0.00545303,0.000477178,0.0532927,0.130714,0.0239631
12927430,1,0.000187988,-0.000223642,6.997e-05,-0.0120374,0.00803453,-0.00125865,-0.0525947,-0.13453,-0.0245871
12935490,0.999999,0.000722729,-0.000804793,6.82025e-05,-0.000718384,-0.0028117,0.000439946,0.0543773,0.0523254,0.0240526
12943725,1,-2.66994e-05,-0.000814643,6.66431e-05,0.0126601,0.00240646,0.000548801,0.010084,-0.0216085,0.00150318
12951509,0.999999,0.000750811,-0.000961661,6.41368e-05,-0.00125306,-0.0050362,0.000464876,0.0495157,0.194437,-0.00220633
12959656,0.999999,0.00150823,-0.000743632,6.13157e-05,-0.0048388,-0.00545382,0.000473729,0.00923903,0.0185199,0.000123425
13036972,1,0.000722224,-0.000465996,6.6291e-05,-0.0120355,0.0080356,-0.00124458,-0.0568808,-0.145063,-0.0247523
13044824,0.999999,0.00120903,-0.00108762,6.47662e-05,-0.000722754,-0.0028141,0.000437691,0.0492482,0.0424718,0.0241176
13052702,0.999999,0.000462462,-0.00102785,6.33554e-05,0.0126545,0.00240437,0.000545817,0.00630911,-0.0316336,0.00148184
13060750,1,0.000598251,-0.000271172,6.75578e-05,-0.00536745,0.00694993,-0.0011937,0.00143232,0.014491,-0.0248965
13068700,0.999999,0.00132579,-0.000538038,6.56115e-05,-0.00484106,-0.00545468,0.000473644,0.0534822,0.123384,0.0240303
13076827,1,0.000534775,-0.000271948,7.05271e-05,-0.0120344,0.00803597,-0.00125268,-0.0526876,-0.141889,-0.0246663
13084763,0.999999,0.00102179,-0.000894791,6.89777e-05,-0.000722835,-0.00281438,0.000438488,0.0534459,0.0456729,0.0240709
13092791,1,0.0002716,-0.000890975,6.74785e-05,0.0126543,0.00240423,0.000548392,0.00940146,-0.0283513,0.00149247
13158170,1,0.000541008,-0.000172518,7.17505e-05,-0.00536615,0.00695073,-0.00119524,0.00376802,0.0151576,-0.0248901
13166018,0.999999,0.00126449,-0.000450123,6.98689e-05,-0.00484099,-0.00545517,0.000473367,0.0556203,0.124134,0.0239926
13174040,1,0.000470659,-0.000190922,7.4755e-05,-0.0120329,0.00803684,-0.00125602,-0.050698,-0.141083,-0.0246288
13181907,0.999999,0.000952429,-0.000817667,7.3207e-05,-0.000723137,-0.00281477,0.000438771,0.0553721,0.0465809,0.0240458
13189910,1,0.000202067,-0.000841741,7.16704e-05,0.0126538,0.0024039,0.000549313,0.0107755,-0.0274416,0.00149673
13197905,1,0.000518227,-0.000142839,7.5975e-05,-0.0053654,0.00695157,-0.00119558,0.00475403,0.0151484,-0.0248824
13205972,0.999999,0.0012397,-0.000425493,7.4112e-05,-0.00484114,-0.00545574,0.000473299,0.0565132,0.124162,0.0239708
13214029,1,0.000477914,-0.000308862,7.1947e-05,0.00721883,0.00149013,0.000591264,-0.00213221,-0.0675074,0.00124647
13221967,0.999999,0.00120714,-0.000414694,7.0184e-05,-0.0150216,-0.00783523,0.000382998,0.0205699,0.0691993,-0.00209716
13229898,1,0.0004527,-0.000316395,6.82353e-05,0.00932872,0.00423183,0.000535616,-0.0164524,-0.169747,0.00138611
13238019,1,-0.000351557,-0.000428302,7.33074e-05,-0.00180117,0.00867141,-0.00121823,0.0123865,-0.0163127,-0.0247875
13245960,1,0.000396703,-0.000679567,7.10146e-05,-0.00112981,-0.00506128,0.00046924,0.06936,0.175202,0.0239153
13253976,1,-0.000308978,-0.000380447,6.91008e-05,0.00860969,0.00137732,0.000579188,0.00371685,-0.00388545,0.00132986
13262026,1,0.000426409,-0.000430049,6.71823e-05,-0.0153338,-0.00798818,0.000389653,0.0206547,0.10879,-0.00218288
13270115,1,-0.000328536,-0.000312623,6.5354e-05,0.008548,0.00414135,0.000525211,-0.0183132,-0.154711,0.00165766
13329778,0.999999,-0.00113781,-0.000393629,7.04086e-05,-0.00233365,0.00864317,-0.00123413,0.0110438,-0.0123615,-0.0247097
13337652,1,-0.00038761,-0.000637404,6.79258e-05,-0.00128153,-0.00504428,0.000475652,0.0689401,0.17928,0.0236412
13345580,0.999999,-0.00105217,-0.000254445,6.62331e-05,0.00869899,0.00141379,0.000578317,0.00581838,0.00400255,0.0013508
13353592,1,-0.000318087,-0.000313524,6.43323e-05,-0.0151718,-0.00795302,0.000397251,0.023211,0.121145,-0.00235789
13361569,0.999999,-0.00107363,-0.000197634,6.25214e-05,0.00868085,0.00416722,0.000520708,-0.0154708,-0.139806,0.00188623
13369609,0.999998,-0.00186598,-0.000396571,6.7346e-05,-0.00225812,0.00865614,-0.00124664,0.0116466,0.00293636,-0.0246954
13377628,0.999999,-0.0011099,-0.000624109,6.46831e-05,-0.00125567,-0.00503894,0.000482683,0.0698136,0.1943,0.023356
13385733,0.999999,-0.00150541,4.5626e-05,6.34163e-05,0.0086961,0.00141443,0.000582113,0.0122225,0.0131823,0.00133666
13393650,1,-0.000749466,-0.000130296,6.12006e-05,-0.00484192,-0.00545622,0.000491649,0.0540807,0.182818,-0.00292683
