time,e0,e1,e2,e3,wx,wy,wz,x,y,z,xp,yp,zp,input1,input2,input3,input4
0.56,0.999828,-0.0162358,-0.000911911,-0.00891518,-0.00279647,0.00130617,-0.00515957,0.0362946,0.080906,0.0310165,0.0198132,0.10997,-0.00456789,36.2595,-0.0492028,0.0266264,-0.0145483
0.58,0.999829,-0.0161777,-0.000910045,-0.00887715,0.0237212,0.00197624,0.00337833,0.0358939,0.0808421,0.0310591,0.0187501,0.10909,-0.00632102,34.1352,-0.0473105,0.0125859,-0.0297118
0.6,0.99983,-0.0161953,-0.000913541,-0.00878861,0.0165985,0.00132324,0.0111513,0.0354963,0.08035,0.0311416,0.0182466,0.107596,-0.00347655,35.5185,-0.11074,0.0105492,-0.0529982
0.62,0.99983,-0.0162172,-0.000911509,-0.00871819,0.0134285,0.00234715,0.000711988,0.0350998,0.0798172,0.0312057,0.017455,0.106684,-0.00344559,35.4934,-0.0654154,-0.0229371,0.0526548
0.64,0.99983,-0.0162641,-0.00092374,-0.0086053,0.00295132,0.00565246,0.0105685,0.0347275,0.0793983,0.031256,0.0164338,0.105949,-0.00361814,32.8388,-0.055493,0.0267779,0.0899665
0.66,0.999831,-0.016277,-0.000905301,-0.00847797,-0.00162236,0.00415191,0.0152723,0.0343791,0.0790904,0.0312964,0.0158224,0.105754,-0.00423887,33.1514,-0.0792467,0.0718722,-0.0745235
0.68,0.999832,-0.0163022,-0.000835962,-0.00838872,0.0102754,0.00955572,0.00284526,0.0338384,0.0785621,0.0313573,0.014845,0.104857,-0.00783418,36.786,-0.0268348,0.00136012,-0.13133
0.7,0.999831,-0.0163407,-0.000760412,-0.00839688,0.0144663,0.0175547,0.00179432,0.0334443,0.0780089,0.0313998,0.0156008,0.103943,-0.00764526,33.5173,0.00582105,0.0329793,0.0637826
0.72,0.99983,-0.0163606,-0.000723978,-0.00844934,0.0203219,0.00102376,-0.00784194,0.0331285,0.0777352,0.031425,0.0161552,0.103288,-0.00465416,34.1663,-0.0847129,-0.00982717,0.036119
0.74,0.99983,-0.0163744,-0.000749709,-0.00842956,0.0164017,0.00292505,0.000618516,0.0328357,0.0774232,0.0314439,0.0172357,0.103061,-0.00406636,34.4463,-0.0370242,0.0341329,0.00560672
0.76,0.999831,-0.0163885,-0.000813057,-0.00830479,0.000370979,-0.0135738,0.00771388,0.0324827,0.0771653,0.0314508,0.017582,0.103384,-0.00924454,33.7625,-0.0547499,0.0371486,0.0534951
0.78,0.999831,-0.0164017,-0.000831577,-0.00829037,-0.000727176,0.00264143,0.0038252,0.0322204,0.0768585,0.0314704,0.017077,0.102033,-0.0090883,34.3805,-0.0196979,0.0129152,-0.0928597
0.8,0.99983,-0.0163921,-0.000821879,-0.00837434,0.0192603,0.00607041,-0.00917444,0.0319071,0.0763061,0.0315128,0.016023,0.101011,-0.00901097,34.1578,-0.0529838,0.0319556,0.135022
0.82,0.999829,-0.0164354,-0.000826038,-0.00844678,0.00934857,0.00491223,-0.00653774,0.0315966,0.0757658,0.031553,0.0150515,0.100406,-0.00925931,33.1759,-0.0269028,0.00929983,0.00625769
0.84,0.999829,-0.0164977,-0.000801315,-0.00837327,-0.0155849,-0.0043367,0.0111702,0.0312027,0.0753189,0.0315593,0.0150593,0.100045,-0.00934801,33.824,-0.0578389,-0.0117935,0.173078
0.86,0.999829,-0.0164826,-0.000790066,-0.00836203,-0.00268339,-0.0104852,-0.000747525,0.0309593,0.0750545,0.0315774,0.0147174,0.0990323,-0.00914979,34.6316,-0.0293597,0.0144251,-0.0829587
0.88,0.999828,-0.0165058,-0.000736996,-0.00840208,-0.00374621,0.00277163,-0.00360685,0.0307451,0.0748879,0.0315834,0.0147028,0.0987415,-0.00926405,33.8551,-0.0467321,-0.00480584,-0.0307576
